Name_number,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
11,miconia sp.,0.9,Miconia,genus,1,Ruiz & Pav.,http://www.tropicos.org/Name/40018467,,,,,Melastomataceae,Miconia,1,,,,,,,,,,sp.,Accepted,Miconia,Ruiz & Pav.,genus,http://www.tropicos.org/Name/40018467,,Melastomataceae,FALSE,tropicos, ,
12,persea sp.,0.9,Persea,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Persea,,,,,Lauraceae,Persea,1,,,,,,,,,,sp.,Accepted,Persea,,genus,http://www.theplantlist.org/tpl1.1/search?q=Persea,,Lauraceae,TRUE,tpl, ,
12,persea sp.,0.9,Persea,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Persea,,,,,Lauraceae,Persea,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, ,
12,persea sp.,0.9,Persea,genus,1,Mill.,http://www.tropicos.org/Name/40005008,,,,,Lauraceae,Persea,1,,,,,,,,,,sp.,Accepted,Persea,Mill.,genus,http://www.tropicos.org/Name/40005008,,Lauraceae,FALSE,tropicos, ,
12,persea sp.,0.9,Persea,genus,1,C.F. Gaertn.,http://www.tropicos.org/Name/50214417,,,,,Lauraceae,Persea,1,,,,,,,,,,sp.,Illegitimate,,,,,,,FALSE,tropicos, ,
12,persea sp.,0.9,Persea,genus,1,,http://plants.usda.gov/java/profile?symbol=PERSE,,,,,Lauraceae,Persea,1,,,,,,,,,,sp.,Accepted,Persea,,genus,http://plants.usda.gov/java/profile?symbol=PERSE,,Lauraceae,FALSE,usda, ,
13,myrcia sp.,0.9,Myrcia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Myrcia,,,,,Myrtaceae,Myrcia,1,,,,,,,,,,sp.,Accepted,Myrcia,,genus,http://www.theplantlist.org/tpl1.1/search?q=Myrcia,,Myrtaceae,TRUE,tpl, ,
13,myrcia sp.,0.9,Myrcia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Myrcia,,,,,Myrtaceae,Myrcia,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, ,
13,myrcia sp.,0.9,Myrcia,genus,1,DC.,http://www.tropicos.org/Name/40024268,,,,,Myrtaceae,Myrcia,1,,,,,,,,,,sp.,Accepted,Myrcia,DC.,genus,http://www.tropicos.org/Name/40024268,,Myrtaceae,FALSE,tropicos, ,
13,myrcia sp.,0.9,Myrcia,genus,1,,http://plants.usda.gov/java/profile?symbol=MYRCI,,,,,Myrtaceae,Myrcia,1,,,,,,,,,,sp.,Accepted,Myrcia,,genus,http://plants.usda.gov/java/profile?symbol=MYRCI,,Myrtaceae,FALSE,usda, ,
14,topobea sp.,0.9,Topobea,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Topobea,,,,,Melastomataceae,Topobea,1,,,,,,,,,,sp.,Accepted,Topobea,,genus,http://www.theplantlist.org/tpl1.1/search?q=Topobea,,Melastomataceae,TRUE,tpl, ,
14,topobea sp.,0.9,Topobea,genus,1,Aubl.,http://www.tropicos.org/Name/40015395,,,,,Melastomataceae,Topobea,1,,,,,,,,,,sp.,Synonym,Blakea,P. Browne,genus,http://www.tropicos.org/Name/40027946,,Melastomataceae,FALSE,tropicos, ,
15,croton schiedeanus,1,Croton schiedeanus,species,1,Schltdl.,http://www.theplantlist.org/tpl1.1/record/kew-51113;http://www.tropicos.org/Name/12802551,,,,,Euphorbiaceae,Croton,1,schiedeanus,1,,,,,,,,,Accepted,Croton schiedeanus,Schltdl.,species,http://www.theplantlist.org/tpl1.1/record/kew-51113;http://www.tropicos.org/Name/12802551,Croton schiedeanus,Euphorbiaceae,TRUE,tpl;tropicos, ,
16,marcgravia sp.,0.9,Marcgravia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Marcgravia,,,,,Marcgraviaceae,Marcgravia,1,,,,,,,,,,sp.,Accepted,Marcgravia,,genus,http://www.theplantlist.org/tpl1.1/search?q=Marcgravia,,Marcgraviaceae,TRUE,tpl, ,
16,marcgravia sp.,0.9,Marcgravia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Marcgravia,,,,,Marcgraviaceae,Marcgravia,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
16,marcgravia sp.,0.9,Marcgravia,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Marcgravia,,,,,Marcgraviaceae,Marcgravia,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
16,marcgravia sp.,0.9,Marcgravia,genus,1,L.,http://www.tropicos.org/Name/40013713,,,,,Marcgraviaceae,Marcgravia,1,,,,,,,,,,sp.,Accepted,Marcgravia,L.,genus,http://www.tropicos.org/Name/40013713,,Marcgraviaceae,FALSE,tropicos, ,
16,marcgravia sp.,0.9,Marcgravia,genus,1,,http://plants.usda.gov/java/profile?symbol=MARCG,,,,,Marcgraviaceae,Marcgravia,1,,,,,,,,,,sp.,Accepted,Marcgravia,,genus,http://plants.usda.gov/java/profile?symbol=MARCG,,Marcgraviaceae,FALSE,usda, [Ambiguous match] ,
17,mikania sp.,0.9,Mikania,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Mikania,,,,,Asteraceae,Mikania,1,,,,,,,,,,sp.,No opinion,,,,,,,TRUE,tpl, ,
17,mikania sp.,0.9,Mikania,genus,1,Willd.,http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=ED8EB937-82F3-4818-88E1-5EE779DD215E;http://www.tropicos.org/Name/40019729,,,,,Asteraceae,Mikania,1,,,,,,,,,,sp.,Accepted,Mikania,Willd.,genus,http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=ED8EB937-82F3-4818-88E1-5EE779DD215E;http://www.tropicos.org/Name/40019729,,Asteraceae,FALSE,gcc;tropicos, ,urn:lsid:compositae.org:names:ED8EB937-82F3-4818-88E1-5EE779DD215E
17,mikania sp.,0.9,Mikania,genus,1,F.W.Schmidt,http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=8F073B14-88FD-429C-A566-B646388A3DCB,,,,,Asteraceae,Mikania,1,,,,,,,,,,sp.,Illegitimate,,,,,,,FALSE,gcc, ,
17,mikania sp.,0.9,Mikania,genus,1,F.W. Schmidt,http://www.tropicos.org/Name/40019724,,,,,Asteraceae,Mikania,1,,,,,,,,,,sp.,Illegitimate,,,,,,,FALSE,tropicos, ,
17,mikania sp.,0.9,Mikania,genus,1,Neck.,http://www.tropicos.org/Name/50161004,,,,,Moraceae,Mikania,1,,,,,,,,,,sp.,Invalid,,,,,,,FALSE,tropicos, ,
17,mikania sp.,0.9,Mikania,genus,1,,http://plants.usda.gov/java/profile?symbol=MIKAN,,,,,Asteraceae,Mikania,1,,,,,,,,,,sp.,Accepted,Mikania,,genus,http://plants.usda.gov/java/profile?symbol=MIKAN,,Asteraceae,FALSE,usda, ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,Accepted,Symplocos,,genus,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,Symplocaceae,TRUE,tpl, ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Symplocos,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,tpl, [Ambiguous match] ,
18,symplocos sp.,0.9,Symplocos,genus,1,Jacq.,http://www.tropicos.org/Name/40008696,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,Accepted,Symplocos,Jacq.,genus,http://www.tropicos.org/Name/40008696,,Symplocaceae,FALSE,tropicos, ,
18,symplocos sp.,0.9,Symplocos,genus,1,,http://plants.usda.gov/java/profile?symbol=SYMPL2,,,,,Symplocaceae,Symplocos,1,,,,,,,,,,sp.,Accepted,Symplocos,,genus,http://plants.usda.gov/java/profile?symbol=SYMPL2,,Symplocaceae,FALSE,usda, [Ambiguous match] ,
19,senecio sp.,0.9,Senecio,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Senecio;http://plants.usda.gov/java/profile?symbol=SENEC,,,,,Asteraceae,Senecio,1,,,,,,,,,,sp.,Accepted,Senecio,,genus,http://www.theplantlist.org/tpl1.1/search?q=Senecio;http://plants.usda.gov/java/profile?symbol=SENEC,,Asteraceae,TRUE,tpl;usda, ,
19,senecio sp.,0.9,Senecio,genus,1,L.,http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=8E5155BD-8DA5-4B76-863B-F53BEF3839F9;http://www.tropicos.org/Name/40035317,,,,,Asteraceae,Senecio,1,,,,,,,,,,sp.,Accepted,Senecio,L.,genus,http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=8E5155BD-8DA5-4B76-863B-F53BEF3839F9;http://www.tropicos.org/Name/40035317,,Asteraceae,FALSE,gcc;tropicos, ,urn:lsid:compositae.org:names:8E5155BD-8DA5-4B76-863B-F53BEF3839F9
19,senecio sp.,0.9,Senecio,genus,1,pre Herbarium Practice & Following Welman.,http://dixon.iplantcollaborative.org/CompositaeWeb/default.aspx?Page=NameDetails&TabNum=0&NameId=EB361969-19D5-41AB-AA6F-B9DC06E5B93C,,,,,Asteraceae,Senecio,1,,,,,,,,,,sp.,No opinion,,,,,,,FALSE,gcc, ,
20,acacia articulata,1,Acacia articulata,species,1,Ducke,http://www.tropicos.org/Name/13000038,,,,,Fabaceae,Acacia,1,articulata,1,,,,,,,,,Accepted,Acacia articulata,Ducke,species,http://www.tropicos.org/Name/13000038,Acacia articulata,Fabaceae,TRUE,tropicos, ,
21,ocotea atirrensis,1,Ocotea atirrensis,species,1,Mez & Donn.Sm.,http://www.theplantlist.org/tpl1.1/record/kew-2386374,,,,,Lauraceae,Ocotea,1,atirrensis,1,,,,,,,,,Accepted,Ocotea atirrensis,Mez & Donn.Sm.,species,http://www.theplantlist.org/tpl1.1/record/kew-2386374,Ocotea atirrensis,Lauraceae,TRUE,tpl, ,
21,ocotea atirrensis,1,Ocotea atirrensis,species,1,Mez & Donn. Sm.,http://www.tropicos.org/Name/17801529,,,,,Lauraceae,Ocotea,1,atirrensis,1,,,,,,,,,Accepted,Ocotea atirrensis,Mez & Donn. Sm.,species,http://www.tropicos.org/Name/17801529,Ocotea atirrensis,Lauraceae,FALSE,tropicos, ,
22,lonchocarpus minimiflorus,1,Lonchocarpus minimiflorus,species,1,Donn.Sm.,http://www.ildis.org/LegumeWeb?version~10.01&genus~Lonchocarpus&species~minimiflorus,,,,,Fabaceae,Lonchocarpus,1,minimiflorus,1,,,,,,,,,Accepted,Lonchocarpus minimiflorus,Donn.Sm.,species,http://www.ildis.org/LegumeWeb?version~10.01&genus~Lonchocarpus&species~minimiflorus,Lonchocarpus minimiflorus,Fabaceae,TRUE,ildis, ,
22,lonchocarpus minimiflorus,1,Lonchocarpus minimiflorus,species,1,Donn. Sm.,http://www.tropicos.org/Name/13009859,,,,,Fabaceae,Lonchocarpus,1,minimiflorus,1,,,,,,,,,Accepted,Lonchocarpus minimiflorus,Donn. Sm.,species,http://www.tropicos.org/Name/13009859,Lonchocarpus minimiflorus,Fabaceae,FALSE,tropicos, ,
23,vaccinium consanguineum,1,Vaccinium consanguineum,species,1,Klotzsch,http://www.theplantlist.org/tpl1.1/record/kew-2458734;http://www.tropicos.org/Name/12300477,,,,,Ericaceae,Vaccinium,1,consanguineum,1,,,,,,,,,Accepted,Vaccinium consanguineum,Klotzsch,species,http://www.theplantlist.org/tpl1.1/record/kew-2458734;http://www.tropicos.org/Name/12300477,Vaccinium consanguineum,Ericaceae,TRUE,tpl;tropicos, ,
24,pourouma sp.,0.9,Pourouma,genus,1,,http://www.theplantlist.org/tpl1.1/search?q=Pourouma,,,,,Urticaceae,Pourouma,1,,,,,,,,,,sp.,Accepted,Pourouma,,genus,http://www.theplantlist.org/tpl1.1/search?q=Pourouma,,Urticaceae,TRUE,tpl, ,
24,pourouma sp.,0.9,Pourouma,genus,1,Aubl.,http://www.tropicos.org/Name/40015585,,,,,Urticaceae,Pourouma,1,,,,,,,,,,sp.,Accepted,Pourouma,Aubl.,genus,http://www.tropicos.org/Name/40015585,,Urticaceae,FALSE,tropicos, ,
25,allophylus cominia,1,Allophylus cominia,species,1,(L.) Sw.,http://www.theplantlist.org/tpl1.1/record/kew-2629288;http://www.tropicos.org/Name/28600907,,,,,Sapindaceae,Allophylus,1,cominia,1,,,,,,,,,Accepted,Allophylus cominia,(L.) Sw.,species,http://www.theplantlist.org/tpl1.1/record/kew-2629288;http://www.tropicos.org/Name/28600907,Allophylus cominia,Sapindaceae,TRUE,tpl;tropicos, ,
26,strychnos colombiensis,1,Strychnos colombiensis,species,1,Krukoff & Barneby,http://www.theplantlist.org/tpl1.1/record/tro-19000569;http://www.tropicos.org/Name/19000569,,,,,Loganiaceae,Strychnos,1,colombiensis,1,,,,,,,,,Accepted,Strychnos colombiensis,Krukoff & Barneby,species,http://www.theplantlist.org/tpl1.1/record/tro-19000569;http://www.tropicos.org/Name/19000569,Strychnos colombiensis,Loganiaceae,TRUE,tpl;tropicos, ,
27,ficus trigona,1,Ficus trigona,species,1,L.f.,http://www.theplantlist.org/tpl1.1/record/kew-2812649,,,,,Moraceae,Ficus,1,trigona,1,,,,,,,,,Accepted,Ficus trigona,L.f.,species,http://www.theplantlist.org/tpl1.1/record/kew-2812649,Ficus trigona,Moraceae,TRUE,tpl, ,
27,ficus trigona,1,Ficus trigona,species,1,L. f.,http://www.tropicos.org/Name/21301541,,,,,Moraceae,Ficus,1,trigona,1,,,,,,,,,Accepted,Ficus trigona,L. f.,species,http://www.tropicos.org/Name/21301541,Ficus trigona,Moraceae,FALSE,tropicos, ,
28,oreopanax nicaraguensis,1,Oreopanax nicaraguensis,species,1,M.J.Cannon & Cannon,http://www.theplantlist.org/tpl1.1/record/kew-143584,,,,,Araliaceae,Oreopanax,1,nicaraguensis,1,,,,,,,,,Accepted,Oreopanax nicaraguensis,M.J.Cannon & Cannon,species,http://www.theplantlist.org/tpl1.1/record/kew-143584,Oreopanax nicaraguensis,Araliaceae,TRUE,tpl, ,
28,oreopanax nicaraguensis,1,Oreopanax nicaraguensis,species,1,M.J. Cannon & Cannon,http://www.tropicos.org/Name/2200774,,,,,Araliaceae,Oreopanax,1,nicaraguensis,1,,,,,,,,,Accepted,Oreopanax nicaraguensis,M.J. Cannon & Cannon,species,http://www.tropicos.org/Name/2200774,Oreopanax nicaraguensis,Araliaceae,FALSE,tropicos, ,
29,besleria solanoides,1,Besleria solanoides,species,1,Kunth,http://www.theplantlist.org/tpl1.1/record/kew-2675478;http://www.tropicos.org/Name/14001089,,,,,Gesneriaceae,Besleria,1,solanoides,1,,,,,,,,,Accepted,Besleria solanoides,Kunth,species,http://www.theplantlist.org/tpl1.1/record/kew-2675478;http://www.tropicos.org/Name/14001089,Besleria solanoides,Gesneriaceae,TRUE,tpl;tropicos, ,
30,miconia costaricensis,1,Miconia costaricensis,species,1,Cogn.,http://www.theplantlist.org/tpl1.1/record/tro-20302675;http://www.tropicos.org/Name/20302675,,,,,Melastomataceae,Miconia,1,costaricensis,1,,,,,,,,,Accepted,Miconia costaricensis,Cogn.,species,http://www.theplantlist.org/tpl1.1/record/tro-20302675;http://www.tropicos.org/Name/20302675,Miconia costaricensis,Melastomataceae,TRUE,tpl;tropicos, ,
31,cybianthus schlimii,1,Cybianthus schlimii,species,1,(Hook.f.) G.Agostini,http://www.theplantlist.org/tpl1.1/record/kew-2749449,,,,,Primulaceae,Cybianthus,1,schlimii,1,,,,,,,,,Accepted,Cybianthus schlimii,(Hook.f.) G.Agostini,species,http://www.theplantlist.org/tpl1.1/record/kew-2749449,Cybianthus schlimii,Primulaceae,TRUE,tpl, ,
