Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Pleuranthodendron lindenii,Pleuranthodendron lindenii,,1,Accepted,Pleuranthodendron lindenii,(Turcz.) Sleumer,Salicaceae,tropicos, ,
Poulsenia armata,Poulsenia armata,,1,Accepted,Poulsenia armata,(Miq.) Standl.,Moraceae,tropicos, ,
Pouteria durlandii,Pouteria durlandii,,1,Accepted,Pouteria durlandii,(Standl.) Baehni,Sapotaceae,tropicos, ,
Pouteria rhynchocarpa,Pouteria rhynchocarpa,,1,Accepted,Pouteria rhynchocarpa,T.D. Penn.,Sapotaceae,tropicos, ,
Pseudolmedia oxyphyllaria,Pseudolmedia oxyphyllaria,,1,Synonym,Pseudolmedia glabrata,(Liebm.) C.C. Berg,Moraceae,tropicos, ,
Psychotria chiapensis,Psychotria chiapensis,,1,Synonym,Palicourea tetragona,(Donn. Sm.) C.M. Taylor & Lorence,Rubiaceae,tropicos, ,
Psychotria faxlucens,Psychotria faxlucens,,1,Synonym,Palicourea faxlucens,(Lorence & Dwyer) Lorence,Rubiaceae,tropicos, ,
Psychotria flava,Psychotria flava,,1,Accepted,Psychotria flava,Oerst. ex Standl.,Rubiaceae,tropicos, ,
Psychotria simiarum,Psychotria simiarum,,1,Accepted,Psychotria simiarum,Standl.,Rubiaceae,tropicos, ,
Pterocarpus rohrii,Pterocarpus rohrii,,1,Accepted,Pterocarpus rohrii,Vahl,Fabaceae,tropicos, ,
Quararibea yunckeri,Quararibea yunckeri,,1,Accepted,Quararibea yunckeri,Standl.,Malvaceae,tropicos, ,
Garcinia intermedia,Garcinia intermedia,,1,Accepted,Garcinia intermedia,(Pittier) Hammel,Clusiaceae,tropicos, ,
Robinsonella mirandae,Robinsonella mirandae,,1,Accepted,Robinsonella mirandae,Gómez Pompa,Malvaceae,tropicos, ,
Salacia megistophylla,Salacia megistophylla,,1,Synonym,Salacia cordata,(Miers) Mennega,Celastraceae,tropicos, ,
Spondias radlkoferi,Spondias radlkoferi,,1,Accepted,Spondias radlkoferi,Donn. Sm.,Anacardiaceae,tropicos, ,
Stemmadenia donnell-smithii,Stemmadenia donnell-smithii,,1,Accepted,Stemmadenia donnell-smithii,(Rose) Woodson,Apocynaceae,tropicos, ,
Trema micrantha,Trema micrantha,,1,Accepted,Trema micrantha,(L.) Blume,Cannabaceae,tropicos;usda, ,
Trichilia martiana,Trichilia martiana,,1,Accepted,Trichilia martiana,C. DC.,Meliaceae,tropicos, ,
Trichospermum mexicanum,Trichospermum mexicanum,,1,Accepted,Trichospermum mexicanum,(DC.) Baill.,Malvaceae,tropicos, ,
Trophis mexicana,Trophis mexicana,,1,Accepted,Trophis mexicana,(Liebm.) Bureau,Moraceae,tropicos, ,
Turpinia occidentalis,Turpinia occidentalis,,1,Accepted,Turpinia occidentalis,(Sw.) G. Don,Staphyleaceae,tropicos;usda, ,
Urera caracasana,Urera caracasana,,1,Accepted,Urera caracasana,(Jacq.) Gaudich. ex Griseb.,Urticaceae,tropicos;usda, ,
Urera elata,Urera elata,,1,Accepted,Urera elata,(Sw.) Griseb.,Urticaceae,tropicos, ,
Vatairea lundellii,Vatairea lundellii,,1,Accepted,Vatairea lundellii,(Standl.) Killip ex Record,Fabaceae,tropicos, ,
Vochysia guatemalensis,Vochysia guatemalensis,,1,Accepted,Vochysia guatemalensis,Donn. Sm.,Vochysiaceae,tropicos, ,
