Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Baccaurea parviflora,Baccaurea parviflora,,1,Accepted,Baccaurea parviflora,(Müll. Arg.) Müll. Arg.,Phyllanthaceae,tropicos, ,
Baccaurea racemosa,Baccaurea racemosa,,1,Accepted,Baccaurea racemosa,(Reinw.) Müll. Arg.,Phyllanthaceae,tropicos;usda, ,
Baccaurea reticulata,Baccaurea reticulata,,1,No opinion,,,,tropicos, ,
Diospyros cauliflora,Diospyros cauliflora,,1,Illegitimate,,,,tropicos, [Ambiguous match] ,
Diospyros maingayi,Diospyros maingayi,,1,No opinion,,,,tropicos, ,
Diospyros nutans,Diospyros nutans,,1,No opinion,,,,tropicos, ,
Garcinia bancana,Garcinia bancana,,1,No opinion,,,,tropicos, [Ambiguous match] ,
Garcinia malaccensis,Garcinia malaccensis,,1,No opinion,,,,tropicos, ,
Garcinia small,Garcinia,,0.5,Accepted,Garcinia,L.,Clusiaceae,tropicos, [Partial match] ,
Cirsium arvense,Cirsium arvense,,1,Accepted,Cirsium arvense,(L.) Scop.,Asteraceae,tropicos;gcc;usda, ,
Epilobium lirsutum,Epilobium hirsutum,,0.98,Accepted,Epilobium hirsutum,L.,Onagraceae,tropicos;usda, ,
Phragmites australis,Phragmites australis,,1,Accepted,Phragmites australis,(Cav.) Trin. ex Steud.,Poaceae,tropicos;usda, ,
Urtica dioica,Urtica dioica,,1,Accepted,Urtica dioica,L.,Urticaceae,tropicos;usda, ,
Agrostis tenuis,Agrostis tenuis,,1,Synonym,Agrostis capillaris,L.,Poaceae,tropicos;usda, ,
Anthoxanthum odoratum,Anthoxanthum odoratum,,1,Accepted,Anthoxanthum odoratum,L.,Poaceae,tropicos;usda, ,
Holcus lanatus,Holcus lanatus,,1,Accepted,Holcus lanatus,L.,Poaceae,tropicos;usda, ,
Leontodon autumnalis,Leontodon autumnalis,,1,Accepted,Leontodon autumnalis,L.,Asteraceae,tropicos;usda, ,
Ranunculus repens,Ranunculus repens,,1,Accepted,Ranunculus repens,L.,Ranunculaceae,tropicos;usda, ,
Carex lasiocarpa,Carex lasiocarpa,,1,Accepted,Carex lasiocarpa,Ehrh.,Cyperaceae,tropicos;usda, ,
Carex nigra,Carex nigra,,1,Synonym,Carex chillanensis,Phil.,Cyperaceae,tropicos, ,
Juncus subnodulosus,Juncus subnodulosus,,1,Accepted,Juncus subnodulosus,Schrank,Juncaceae,tropicos;usda, ,
Menyanthes trifoliata,Menyanthes trifoliata,,1,Accepted,Menyanthes trifoliata,L.,Menyanthaceae,tropicos;usda, ,
Potentilla palustris,Potentilla palustris,,1,Synonym,Comarum palustre,L.,Rosaceae,tropicos;usda, ,
Cirsium vulgare,Cirsium vulgare,,1,Accepted,Cirsium vulgare,(Savi) Ten.,Asteraceae,tropicos;gcc;usda, ,
Eupatorium cannabinum,Eupatorium cannabinum,,1,Accepted,Eupatorium cannabinum,L.,Asteraceae,tropicos;gcc;usda, ,
Galium aparine,Galium aparine,,1,Accepted,Galium aparine,L.,Rubiaceae,tropicos;usda, ,
Brachypodium pinnatum,Brachypodium pinnatum,,1,Accepted,Brachypodium pinnatum,(L.) P. Beauv.,Poaceae,tropicos;usda, ,
Carex flacca,Carex flacca,,1,Accepted,Carex flacca,Schreb.,Cyperaceae,tropicos;usda, ,
Centaurea jacea,Centaurea jacea,,1,Accepted,Centaurea jacea,L.,Asteraceae,tropicos;gcc;usda, ,
Dactylorhiza maculata,Dactylorhiza maculata,,1,Accepted,Dactylorhiza maculata,(L.) Soó,Orchidaceae,tropicos, ,
Ononis repens,Ononis repens,,1,Accepted,Ononis repens,L.,Fabaceae,tropicos;usda, ,
Carex pilulifera,Carex pilulifera,,1,Synonym,Bitteria pilulifera,(L.) Fedde & J. Schust.,Cyperaceae,tropicos, ,
Deschampsia flexuosa,Deschampsia flexuosa,,1,Synonym,Avenella flexuosa,(L.) Drejer,Poaceae,tropicos, ,
Genista anglica,Genista anglica,,1,No opinion,,,,tropicos, ,
Molinia caerulea,Molinia caerulea,,1,Accepted,Molinia caerulea,(L.) Moench,Poaceae,tropicos;usda, ,
Festuca rubra,Festuca rubra,,1,Accepted,Festuca rubra,L.,Poaceae,tropicos;usda, ,
Leucanthemum vulgare,Leucanthemum vulgare,,1,Accepted,Leucanthemum vulgare,Lam.,Asteraceae,tropicos;usda, ,
Unidentified composite,No suitable matches found.,,0,,,,,, ,
Carex panicea,Carex panicea,,1,Accepted,Carex panicea,L.,Cyperaceae,tropicos;usda, ,
Cirsium dissectum,Cirsium dissectum,,1,Accepted,Cirsium dissectum,(L.) Hill,Asteraceae,gcc, ,urn:lsid:compositae.org:names:B1DA5B41-F39E-44EB-AE8E-423A08E24D9D
Erica tetralix,Erica tetralix,,1,Accepted,Erica tetralix,L.,Ericaceae,tropicos;usda, ,
Salix repens,Salix repens,,1,No opinion,,,,tropicos, ,
Succisa pratensis,Succisa pratensis,,1,Accepted,Succisa pratensis,Moench,Caprifoliaceae,tropicos;usda, ,
Viola palustris,Viola palustris,,1,Accepted,Viola palustris,L.,Violaceae,tropicos;usda, ,
Aegiphila lhotzkiana,Aegiphila lhotzkiana,,1,Synonym,Aegiphila verticillata,Vell.,Lamiaceae,tropicos, ,
Annona coriaceae,Annona coriacea,,0.98,Accepted,Annona coriacea,Mart.,Annonaceae,tropicos, ,
Aspidosperma tomentosum,Aspidosperma tomentosum,,1,Accepted,Aspidosperma tomentosum,Mart.,Apocynaceae,tropicos, ,
Bauhinia holophylla,Bauhinia holophylla,,1,Synonym,Bauhinia rufa,(Bong.) Steud.,Fabaceae,tropicos, ,
Bowdichia virgilioides,Bowdichia virgilioides,,1,Accepted,Bowdichia virgilioides,Kunth,Fabaceae,tropicos, ,
Campomanesia aromatica,Campomanesia aromatica,,1,Accepted,Campomanesia aromatica,(Aubl.) Griseb.,Myrtaceae,tropicos, ,
Caryocar brasiliense,Caryocar brasiliense,,1,Accepted,Caryocar brasiliense,Cambess.,Caryocaraceae,tropicos;usda, ,
Connarus suberosus,Connarus suberosus,,1,Accepted,Connarus suberosus,Planch.,Connaraceae,tropicos, ,
Davilla rugosa,Davilla rugosa,,1,Accepted,Davilla rugosa,Poir.,Dilleniaceae,tropicos, ,
Didymopanax vinosum,Didymopanax vinosum,,1,Invalid,,,,tropicos, ,
Duguetia furfuracea,Duguetia furfuracea,,1,Accepted,Duguetia furfuracea,(A. St.-Hil.) Saff.,Annonaceae,tropicos, ,
Gochnatia floribunda,Gochnatia floribunda,,1,Accepted,Gochnatia floribunda,Cabrera,Asteraceae,tropicos;gcc, ,
Kielmeyera coriacea,Kielmeyera coriacea,,1,Accepted,Kielmeyera coriacea,Mart. & Zucc.,Calophyllaceae,tropicos, ,
Miconia albicans,Miconia albicans,,1,Accepted,Miconia albicans,(Sw.) Steud.,Melastomataceae,tropicos, ,
Miconia ligustroides,Miconia ligustroides,,1,Accepted,Miconia ligustroides,(DC.) Naudin,Melastomataceae,tropicos, ,
Piptocarpha rotundifolia,Piptocarpha rotundifolia,,1,Accepted,Piptocarpha rotundifolia,(Less.) Baker,Asteraceae,tropicos;gcc, ,
Qualea dichotoma,Qualea dichotoma,,1,Accepted,Qualea dichotoma,(Mart.) Warm.,Vochysiaceae,tropicos, ,
Styrax camporum,Styrax camporum,,1,Accepted,Styrax camporum,Pohl,Styracaceae,tropicos, ,
Tibouchina stenocarpa,Tibouchina stenocarpa,,1,Accepted,Tibouchina stenocarpa,(DC.) Cogn.,Melastomataceae,tropicos, ,
Tocoyena formosa,Tocoyena formosa,,1,Accepted,Tocoyena formosa,(Cham. & Schltdl.) K. Schum.,Rubiaceae,tropicos, ,
Callitris intratropica,Callitris intratropica,,1,Synonym,Callitris columellaris subsp. intratropica,(R. T. Baker & H. C. Smith) Silba,Cupressaceae,tropicos, ,
Cochlospermum fraseri,Cochlospermum fraseri,,1,Synonym,Maximilianea fraseri,(Planch.) Kuntze,Cochlospermaceae,tropicos, ,
Corymbia foelscheana,Corymbia foelscheana,,1,Accepted,Corymbia foelscheana,(F. Muell.) K.D. Hill & L.A.S. Johnson,Myrtaceae,tropicos, ,
Melaleuca viridiflora,Melaleuca viridiflora,,1,Accepted,Melaleuca viridiflora,C.F. Gaertn.,Myrtaceae,tropicos, ,
Planchonia careya,Planchonia careya,,1,Accepted,Planchonia careya,(F. Muell.) R. Knuth,Lecythidaceae,tropicos, ,
Syzygium eucalyptoides,Syzygium eucalyptoides,,1,Accepted,Syzygium eucalyptoides,(F. Muell.) B. Hyland,Myrtaceae,tropicos, ,
Terminalia ferdinandiana,Terminalia,,0.5,Accepted,Terminalia,L.,Combretaceae,tropicos, [Partial match] ,
Xanthostemon paradoxus,Xanthostemon paradoxus,,1,Synonym,Nania paradoxa,(F. Muell.) Kuntze,Myrtaceae,tropicos, ,
Brachychiton megaphyllus,Brachychiton megaphyllus,,1,No opinion,,,,tropicos, ,
Buchanania obovata,Buchanania obovata,,1,No opinion,,,,tropicos, ,
Erythrophleum chlorostachys,Erythrophleum chlorostachys,,1,No opinion,,,,tropicos, ,
Eucalyptus tetrodonta,Eucalyptus tetrodonta,,1,No opinion,,,,tropicos, ,
Syzygium suborbiculare,Syzygium suborbiculare,,1,Accepted,Syzygium suborbiculare,(Benth.) T.G. Hartley & L.M. Perry,Myrtaceae,tropicos, ,
Eucalyptus clavigera,Eucalyptus clavigera,,1,Synonym,Corymbia clavigera,(Schauer) K.D. Hill & L.A.S. Johnson,Myrtaceae,tropicos, ,
Eucalyptus miniata,Eucalyptus miniata,,1,Invalid,Eucalyptus miniata,Schauer,Myrtaceae,tropicos, ,
Acacia auriculiformis,Acacia auriculiformis,,1,Accepted,Acacia auriculiformis,A. Cunn. ex Benth.,Fabaceae,tropicos;usda, ,
Lophostemon lactifluus,Lophostemon lactifluus,,1,Accepted,Lophostemon lactifluus,(F. Muell.) Peter G. Wilson & J.T. Waterh.,Myrtaceae,tropicos, ,
Ficus scobina,Ficus scobina,,1,No opinion,,,,tropicos, ,
Mallotus nesophilus,Mallotus nesophilus,,1,Synonym,Echinus nesophilus,(Müll. Arg.) Baill.,Euphorbiaceae,tropicos, ,
Melaleuca leucadendra,Melaleuca leucadendra,,1,Accepted,Melaleuca leucadendra,(L.) L.,Myrtaceae,tropicos, ,
Terminalia microcarpa,Terminalia microcarpa,,1,No opinion,,,,tropicos, ,
Wrightia pubescens,Wrightia pubescens,,1,Accepted,Wrightia pubescens,R. Br.,Apocynaceae,tropicos, ,
Acantholimon diapensioides,Acantholimon diapensioides,,1,Accepted,Acantholimon diapensioides,Boiss.,Plumbaginaceae,tropicos, ,
Achnatherum splendens,Achnatherum splendens,,1,Accepted,Achnatherum splendens,(Trin.) Nevski,Poaceae,tropicos;usda, ,
Ajania tibetica,Ajania tibetica,,1,Accepted,Ajania tibetica,(Hook. f. & Thomson ex C.B. Clarke) Tzvelev,Asteraceae,tropicos, ,
Allium platyspathum,Allium platyspathum,,1,Accepted,Allium platyspathum,Schrenk ex Fisch. & C.A. Mey.,Amaryllidaceae,tropicos, ,
Allium sp,Allium,,0.9,Accepted,Allium,L.,Amaryllidaceae,tropicos, ,
Artemisia leucotricha,Artemisia leucotricha,,1,Synonym,Seriphidium leucotrichum,(Krasch.) K. Bremer & Humphries ex Y.R. Ling,Asteraceae,tropicos, ,
Artemisia pamirica,Artemisia pamirica,,1,Synonym,Artemisia dracunculus var. pamirica,(C. Winkl.) Y.-R. Ling & Humphries,Asteraceae,tropicos, ,
Artemisia rhodantha,Artemisia rhodantha,,1,Synonym,Seriphidium rhodanthum,(Rupr.) Poljakov,Asteraceae,tropicos, ,
Astragalus tibetanus,Astragalus tibetanus,,1,Accepted,Astragalus tibetanus,Bunge,Fabaceae,tropicos, ,
Carex dimorphotheca,Carex dimorphotheca,,1,No opinion,,,,tropicos, ,
Carex orbicularis,Carex orbicularis,,1,Accepted,Carex orbicularis,Boott,Cyperaceae,tropicos, ,
Carex pseudofoetida,Carex pseudofoetida,,1,Accepted,Carex pseudofoetida,Kük.,Cyperaceae,tropicos, ,
Christolea crassifolia,Christolea crassifolia,,1,Accepted,Christolea crassifolia,Cambess.,Brassicaceae,tropicos, ,
Comarum salesovianum,Comarum salesovianum,,1,Accepted,Comarum salesovianum,(Stephan) Asch. & Graebn.,Rosaceae,tropicos, ,
Corydalis stricta,Corydalis stricta,,1,Accepted,Corydalis stricta,Stephan ex Fisch.,Papaveraceae,tropicos, ,
Dracocephalum heterophyllum,Dracocephalum heterophyllum,,1,Accepted,Dracocephalum heterophyllum,Benth.,Lamiaceae,tropicos, ,
Elymus nutans,Elymus nutans,,1,Synonym,Campeiostachys nutans,"(Griseb.) B.R. Baum, J.L. Yang & C. Yen",Poaceae,tropicos, ,
Ephedra regeliana,Ephedra regeliana,,1,Accepted,Ephedra regeliana,Florin,Ephedraceae,tropicos, ,
Gentiana karelinii,Gentiana karelinii,,1,Synonym,Ciminalis karelinii,(Griseb.) Omer,Gentianaceae,tropicos, ,
Gentiana leucomelaena,Gentiana leucomelaena,,1,Accepted,Gentiana leucomelaena,Maxim. ex Kusn.,Gentianaceae,tropicos, ,
Glaux maritima,Glaux maritima,,1,Accepted,Glaux maritima,L.,Primulaceae,tropicos;usda, ,
Gypsophila capituliflora,Gypsophila capituliflora,,1,Accepted,Gypsophila capituliflora,Rupr.,Caryophyllaceae,tropicos, ,
Halerpestes sarmentosa,Halerpestes sarmentosa,,1,Accepted,Halerpestes sarmentosa,(Adams) Kom.,Ranunculaceae,tropicos, ,
Hedysarum minjanense,Hedysarum minjanense,,1,Accepted,Hedysarum minjanense,Rech. f.,Fabaceae,tropicos, ,
Hordeum turkestanicum,Hordeum turkestanicum,,1,Accepted,Hordeum turkestanicum,Nevski,Poaceae,tropicos, ,
Knorringia pamiricum,Knorringia pamirica,,0.95,Synonym,Polygonum sibiricum var. thomsonii,Meisn.,Polygonaceae,tropicos, ,
Kobresia capilliformis,Kobresia capilliformis,,1,Synonym,Kobresia capillifolia,(Decne.) C.B. Clarke,Cyperaceae,tropicos, ,
Krascheninnikovia ceratoides,Krascheninnikovia ceratoides,,1,Accepted,Krascheninnikovia ceratoides,(L.) Gueldenst.,Amaranthaceae,tropicos;usda, ,
Leymus pubescens,Leymus pubescens,,1,Accepted,Leymus pubescens,(O. Fedtsch.) Ikonn.,Poaceae,tropicos, ,
Ligularia alpigena,Ligularia alpigena,,1,Accepted,Ligularia alpigena,Pojark.,Asteraceae,tropicos;gcc, ,
Lindelofia pterocarpa,Lindelofia pterocarpa,,1,No opinion,,,,tropicos, ,
Lomatocarpa albomarginata,Lomatocarpa albomarginata,,1,Accepted,Lomatocarpa albomarginata,(Schrenk ex Fisch. & C.A. Mey.) Pimenov & Lavrova,Apiaceae,tropicos, ,
Macrotomia euchroma,Macrotomia euchroma,,1,Synonym,Arnebia euchroma,(Royle) I.M. Johnst.,Boraginaceae,tropicos, ,
Myricaria squamosa,Myricaria squamosa,,1,Accepted,Myricaria squamosa,Desv.,Tamaricaceae,tropicos, ,
Oxytropis chiliophylla,Oxytropis chiliophylla,,1,Accepted,Oxytropis chiliophylla,Royle ex Benth.,Fabaceae,tropicos, ,
Oxytropis globiflora,Oxytropis globiflora,,1,Accepted,Oxytropis globiflora,Bunge,Fabaceae,tropicos, ,
Parnassia laxmannii,Parnassia laxmannii,,1,Accepted,Parnassia laxmannii,Pall. ex Schult.,Parnassiaceae,tropicos, ,
Pedicularis ludwigii,Pedicularis ludwigii,,1,Accepted,Pedicularis ludwigii,Regel,Orobanchaceae,tropicos, ,
Pentaphylloides dryadanthoides,Pentaphylloides dryadanthoides,,1,Accepted,Pentaphylloides dryadanthoides,Soják,Rosaceae,tropicos, ,
Plantago arachnoidea,Plantago arachnoidea,,1,Accepted,Plantago arachnoidea,Schrenk ex Fisch. & C.A. Mey.,Plantaginaceae,tropicos, ,
Potentilla malacotricha,Potentilla malacotricha,,1,No opinion,,,,tropicos, ,
Potentilla moorcroftii,Potentilla moorcroftii,,1,Synonym,Potentilla bifurca var. humilior,Ost.-Sack. & Rupr.,Rosaceae,tropicos, ,
Potentilla multifida,Potentilla multifida,,1,Accepted,Potentilla multifida,L.,Rosaceae,tropicos, ,
Primula algida,Primula algida,,1,Accepted,Primula algida,Adams,Primulaceae,tropicos, ,
Primula pamirica,Primula pamirica,,1,Accepted,Primula pamirica,Fed.,Primulaceae,tropicos, ,
Pyrethrum djilgense,Pyrethrum djilgense,,1,No opinion,,,,tropicos, ,
Ranunculus krasnovii,Ranunculus krasnovii,,1,No opinion,,,,tropicos, ,
Ranunculus pseudohirculus,Ranunculus pseudohirculus,,1,No opinion,,,,tropicos, ,
Saussurea salsa,Saussurea salsa,,1,Accepted,Saussurea salsa,(Pall.) Spreng.,Asteraceae,tropicos, ,
Scrophularia pamirica,Scrophularia pamirica,,1,Accepted,Scrophularia pamirica,Ivanina,Scrophulariaceae,tropicos, ,
Senecio krascheninnikovii,Senecio krascheninnikovii,,1,Accepted,Senecio krascheninnikovii,Schischk.,Asteraceae,tropicos;gcc, ,
Serratula procumbens,Serratula procumbens,,1,Accepted,Serratula procumbens,Regel,Asteraceae,tropicos;gcc, ,
Silene graminifolia,Silene graminifolia,,1,Accepted,Silene graminifolia,Otth,Caryophyllaceae,tropicos, ,
Stellaria winkleri,Stellaria winkleri,,1,Accepted,Stellaria winkleri,(Briq.) Schischk.,Caryophyllaceae,tropicos, ,
Stipa orientalis,Stipa orientalis,,1,Accepted,Stipa orientalis,Trin.,Poaceae,tropicos;usda, ,
Suaeda olufsenii,Suaeda olufsenii,,1,Accepted,Suaeda olufsenii,Paulsen,Amaranthaceae,tropicos, ,
Taraxacum dissectum,Taraxacum dissectum,,1,Accepted,Taraxacum dissectum,(Ledeb.) Ledeb.,Asteraceae,tropicos;gcc, ,
Taraxacum leucantum,Taraxacum leucanthum,,0.98,Accepted,Taraxacum leucanthum,(Ledeb.) Ledeb.,Asteraceae,tropicos;gcc, ,
Viola tianschanica,Viola tianschanica,,1,No opinion,,,,tropicos, ,
Zygophyllum rosowii,Zygophyllum rosowii,,1,Accepted,Zygophyllum rosowii,Bunge,Zygophyllaceae,tropicos, ,
Androsace akbaitalensis,Androsace akbaitalensis,,1,Accepted,Androsace akbaitalensis,Derganc,Primulaceae,tropicos, ,
Bistorta viviparum,Bistorta vivipara,,0.95,Accepted,Bistorta vivipara,(L.) Delarbre,Polygonaceae,tropicos, [Ambiguous match] ,
Clematis tangutica,Clematis tangutica,,1,Accepted,Clematis tangutica,(Maxim.) Korsh.,Ranunculaceae,tropicos;usda, ,
Draba korshinskyi,Draba korshinskyi,,1,Accepted,Draba korshinskyi,(O. Fedtsch.) Pohle,Brassicaceae,tropicos, ,
Draba pamirica,Draba pamirica,,1,Synonym,Draba korschinskyi,(O. Fedtsch.) Pohle ex O. Fedtsch.,Brassicaceae,tropicos, ,
Dracocephalum paulsenii,Dracocephalum paulsenii,,1,Accepted,Dracocephalum paulsenii,Briq.,Lamiaceae,tropicos, ,
Erigeron heterochaeta,Erigeron heterochaeta,,1,Synonym,Aster asteroides,(DC.) Kuntze,Asteraceae,tropicos, ,
Erigeron poncinsii,Erigeron poncinsii,,1,Synonym,Psychrogeton poncinsii,(Franch.) Ling & Y. L. Chen,Asteraceae,tropicos, ,
Lloydia serotina,Lloydia serotina,,1,Accepted,Lloydia serotina,(L.) Salisb. ex Rchb.,Liliaceae,tropicos;usda, ,
Oxygraphis glacialis,Oxygraphis glacialis,,1,Accepted,Oxygraphis glacialis,(Fisch. ex DC.) Bunge,Ranunculaceae,tropicos, ,
Oxytropis incanescens,Oxytropis incanescens,,1,No opinion,,,,tropicos, ,
Papaver involucratum,Papaver involucratum,,1,No opinion,,,,tropicos, ,
Primula macrophylla,Primula macrophylla,,1,Accepted,Primula macrophylla,D. Don,Primulaceae,tropicos, ,
Rheum spiciforme,Rheum spiciforme,,1,Accepted,Rheum spiciforme,Royle,Polygonaceae,tropicos, ,
Rhodiola gelida,Rhodiola gelida,,1,Accepted,Rhodiola gelida,Schrenk ex Fisch. & C.A. Mey.,Crassulaceae,tropicos, ,
Rhodiola pamiroalaica,Rhodiola pamiroalaica,,1,Accepted,Rhodiola pamiroalaica,Boriss.,Crassulaceae,tropicos, ,
Saxifraga hirculus,Saxifraga hirculus,,1,Accepted,Saxifraga hirculus,L.,Saxifragaceae,tropicos;usda, ,
Sibbaldia tetrandra,Sibbaldia tetrandra,,1,Accepted,Sibbaldia tetrandra,Bunge,Rosaceae,tropicos, ,
Smelowskia pectinata,Smelowskia pectinata,,1,Synonym,Smelowskia calycina,(Stephan) C.A. Mey.,Brassicaceae,tropicos, ,
Swertia marginata,Swertia marginata,,1,Accepted,Swertia marginata,Schrenk,Gentianaceae,tropicos, ,
Valeriana fedtschenkoi,Valeriana fedtschenkoi,,1,Accepted,Valeriana fedtschenkoi,Coincy,Caprifoliaceae,tropicos, ,
Calamagrostis anthoxanthoides,Calamagrostis anthoxanthoides,,1,Synonym,Deyeuxia anthoxanthoides,Munro ex Hook. f.,Poaceae,tropicos, ,
Carex melanantha,Carex melanantha,,1,Accepted,Carex melanantha,C.A. Mey.,Cyperaceae,tropicos, ,
Carex stenocarpa,Carex stenocarpa,,1,Accepted,Carex stenocarpa,Turcz. ex V.I. Krecz.,Cyperaceae,tropicos, ,
Chenopodium foliosum,Chenopodium foliosum,,1,Accepted,Chenopodium foliosum,(Moench) Asch.,Amaranthaceae,tropicos;usda, ,
Geranium himalayense,Geranium himalayense,,1,Accepted,Geranium himalayense,Klotzsch,Geraniaceae,tropicos, ,
Leontopodium ochroleucum,Leontopodium ochroleucum,,1,Accepted,Leontopodium ochroleucum,Beauverd,Asteraceae,tropicos;gcc, ,
Lonicera semenovii,Lonicera semenovii,,1,Accepted,Lonicera semenovii,Regel,Caprifoliaceae,tropicos, ,
Potentilla pamirica,Potentilla pamirica,,1,Accepted,Potentilla pamirica,Th. Wolf,Rosaceae,tropicos, ,
Ranunculus rufosepalus,Ranunculus rufosepalus,,1,Accepted,Ranunculus rufosepalus,Franch.,Ranunculaceae,tropicos, ,
Rhodiola heterodonta,Rhodiola heterodonta,,1,Accepted,Rhodiola heterodonta,(Hook. f. & Thomson) Boriss.,Crassulaceae,tropicos, ,
Sophiopsis annua,Sophiopsis annua,,1,Synonym,Smelowskia annua,Rupr.,Brassicaceae,tropicos, ,
Impatiens noli-tangere,Impatiens noli-tangere,,1,Accepted,Impatiens noli-tangere,L.,Balsaminaceae,tropicos;usda, ,
Capsella bursa-pastoris,Capsella bursa-pastoris,,1,Accepted,Capsella bursa-pastoris,(L.) Medik.,Brassicaceae,tropicos;usda, ,
Lepidium ruderale,Lepidium ruderale,,1,Accepted,Lepidium ruderale,L.,Brassicaceae,tropicos;usda, ,
Thlaspi arvense,Thlaspi arvense,,1,Accepted,Thlaspi arvense,L.,Brassicaceae,tropicos;usda, ,
Spergula arvensis,Spergula arvensis,,1,Accepted,Spergula arvensis,L.,Caryophyllaceae,tropicos;usda, ,
Stellaria media,Stellaria media,,1,Accepted,Stellaria media,(L.) Vill.,Caryophyllaceae,tropicos;usda, ,
Fumaria officinalis,Fumaria officinalis,,1,Accepted,Fumaria officinalis,L.,Papaveraceae,tropicos;usda, ,
Erodium cicutarium,Erodium cicutarium,,1,Accepted,Erodium cicutarium,(L.) L'Hér. ex Aiton,Geraniaceae,tropicos;usda, ,
Polygonum aviculare,Polygonum aviculare,,1,Accepted,Polygonum aviculare,L.,Polygonaceae,tropicos;usda, ,
Melampyrum pratense,Melampyrum pratense,,1,Accepted,Melampyrum pratense,L.,Orobanchaceae,tropicos, ,
Spergularia rubra,Spergularia rubra,,1,Accepted,Spergularia rubra,(L.) J. Presl & C. Presl,Caryophyllaceae,tropicos;usda, ,
Campanula sibirica,Campanula sibirica,,1,Accepted,Campanula sibirica,L.,Campanulaceae,tropicos, ,
Hyoscyamus niger,Hyoscyamus niger,,1,Accepted,Hyoscyamus niger,L.,Solanaceae,tropicos;usda, ,
Aegopodium podagraria,Aegopodium podagraria,,1,Accepted,Aegopodium podagraria,L.,Apiaceae,tropicos;usda, ,
Vincetoxicum hirundinaria,Vincetoxicum hirundinaria,,1,Accepted,Vincetoxicum hirundinaria,Medik.,Apocynaceae,tropicos, ,
Antennaria dioica,Antennaria dioica,,1,Accepted,Antennaria dioica,(L.) Gaertn.,Asteraceae,tropicos;gcc;usda, ,
Anthemis tinctoria,Anthemis tinctoria,,1,Synonym,Cota tinctoria,(L.) J. Gay ex Guss.,Asteraceae,tropicos, ,
Arctium tomentosum,Arctium tomentosum,,1,Accepted,Arctium tomentosum,Mill.,Asteraceae,tropicos;gcc;usda, ,
Artemisia absinthium,Artemisia absinthium,,1,Accepted,Artemisia absinthium,L.,Asteraceae,tropicos;gcc;usda, ,
Artemisia vulgaris,Artemisia vulgaris,,1,Accepted,Artemisia vulgaris,L.,Asteraceae,tropicos;gcc;usda, ,
Aster amellus,Aster amellus,,1,Accepted,Aster amellus,L.,Asteraceae,tropicos;gcc;usda, ,
Cacalia hastata,Cacalia hastata,,1,Synonym,Parasenecio hastatus var. hastatus,,Asteraceae,tropicos, ,
Inula hirta,Inula hirta,,1,No opinion,,,,tropicos, ,
Myosotis palustris,Myosotis palustris,,1,Synonym,Myosotis scorpioides,L.,Boraginaceae,tropicos, ,
Onobrychis arenaria,Onobrychis arenaria,,1,Accepted,Onobrychis arenaria,DC.,Fabaceae,tropicos, ,
Bunias orientalis,Bunias orientalis,,1,Accepted,Bunias orientalis,L.,Brassicaceae,tropicos;usda, ,
Dianthus acicularis,Dianthus acicularis,,1,Accepted,Dianthus acicularis,Fisch. ex Ledeb.,Caryophyllaceae,tropicos, ,
Dianthus versicolor,Dianthus versicolor,,1,Synonym,Dianthus chinensis,L.,Caryophyllaceae,tropicos, ,
Sedum acre,Sedum acre,,1,Accepted,Sedum acre,L.,Crassulaceae,tropicos;usda, ,
Sedum purpureum,Sedum purpureum,,1,Synonym,Hylotelephium triphyllum,(Haw.) Holub,Crassulaceae,tropicos, ,
Knautia arvensis,Knautia arvensis,,1,Accepted,Knautia arvensis,(L.) Coult.,Caprifoliaceae,tropicos, [Ambiguous match] ,
Lathyrus vernus,Lathyrus vernus,,1,Accepted,Lathyrus vernus,(L.) Bernh.,Fabaceae,tropicos;usda, ,
Lupinus polyphyllus,Lupinus polyphyllus,,1,Accepted,Lupinus polyphyllus,Lindl.,Fabaceae,tropicos;usda, ,
Origanum vulgare,Origanum vulgare,,1,Accepted,Origanum vulgare,L.,Lamiaceae,tropicos;usda, ,
Herniaria glabra,Herniaria glabra,,1,Accepted,Herniaria glabra,L.,Caryophyllaceae,tropicos;usda, ,
Betonica officinalis,Betonica officinalis,,1,Accepted,Betonica officinalis,L.,Lamiaceae,tropicos, ,
Glechoma hederaceae,Glechoma hederacea,,0.98,Accepted,Glechoma hederacea,L.,Lamiaceae,tropicos;usda, ,
Chamaenerion angustifolium,Chamaenerion angustifolium,,1,Synonym,Chamerion angustifolium,(L.) Holub,Onagraceae,tropicos, [Ambiguous match] ,
Plantago media,Plantago media,,1,Accepted,Plantago media,L.,Plantaginaceae,tropicos;usda, ,
Polygala sibirica,Polygala sibirica,,1,Accepted,Polygala sibirica,L.,Polygalaceae,tropicos, ,
Polygala vulgaris,Polygala vulgaris,,1,Accepted,Polygala vulgaris,L.,Polygalaceae,tropicos;usda, ,
Trientalis europaea,Trientalis europaea,,1,Accepted,Trientalis europaea,L.,Primulaceae,tropicos;usda, ,
Adonis vernalis,Adonis vernalis,,1,Accepted,Adonis vernalis,L.,Ranunculaceae,tropicos;usda, ,
